season,home_team,away_team,home_score,away_score,location
2017,NY Giants,Kansas City,12,9,1
2017,LA Chargers,Buffalo,54,24,1
2017,Denver,Cincinnati,17,20,1
2017,Las Vegas,New England,8,33,0
2017,Dallas,Philadelphia,9,37,1
2017,Seattle,Atlanta,31,34,1
2017,Detroit,Minnesota,23,30,1
2017,Dallas,LA Chargers,6,28,1
2017,Washington,NY Giants,20,10,1
2017,NY Jets,Carolina,27,35,1
2017,New England,Miami,35,17,1
2017,Cincinnati,Cleveland,30,16,1
2017,Atlanta,Tampa Bay,34,20,1
2017,Indianapolis,Tennessee,16,20,1
2017,Kansas City,Buffalo,10,16,1
2017,Philadelphia,Chicago,31,3,1
2017,San Francisco,Seattle,13,24,1
2017,LA Rams,New Orleans,26,20,1
2017,Arizona,Jacksonville,27,24,1
2017,Las Vegas,Denver,21,14,1
2017,Pittsburgh,Green Bay,31,28,1
2017,Baltimore,Houston,23,16,1
2017,Dallas,Washington,38,14,1
2017,NY Jets,Kansas City,38,31,1
2017,Tennessee,Houston,24,13,1
2017,Green Bay,Tampa Bay,26,20,1
2017,Chicago,San Francisco,14,15,1
2017,Buffalo,New England,3,23,1
2017,Baltimore,Detroit,44,20,1
2017,Atlanta,Minnesota,9,14,1
2017,Miami,Denver,35,9,1
2017,Jacksonville,Indianapolis,30,10,1
2017,LA Chargers,Cleveland,19,10,1
2017,Las Vegas,NY Giants,24,17,1
2017,Arizona,LA Rams,16,32,1
2017,New Orleans,Carolina,31,21,1
2017,Seattle,Philadelphia,24,10,1
2017,Cincinnati,Pittsburgh,20,23,1
2017,Atlanta,New Orleans,20,17,1
2017,Carolina,Minnesota,31,24,1
2017,Kansas City,Las Vegas,26,15,1
2017,Houston,San Francisco,16,26,1
2017,Cleveland,Green Bay,21,27,1
2017,Cincinnati,Chicago,7,33,1
2017,Buffalo,Indianapolis,13,7,1
2017,Tampa Bay,Detroit,21,24,1
2017,NY Giants,Dallas,10,30,1
2017,Denver,NY Jets,23,0,1
2017,LA Chargers,Washington,30,13,1
2017,Arizona,Tennessee,12,7,1
2017,Jacksonville,Seattle,30,24,1
2017,LA Rams,Philadelphia,35,43,1
2017,Pittsburgh,Baltimore,39,38,1
2017,Miami,New England,27,20,1
2017,Indianapolis,Denver,13,25,1
2017,Detroit,Chicago,20,10,1
2017,Kansas City,LA Chargers,30,13,1
2017,Buffalo,Miami,24,16,1
2017,Carolina,Green Bay,31,24,1
2017,Cleveland,Baltimore,10,27,1
2017,Jacksonville,Houston,45,7,1
2017,Minnesota,Cincinnati,34,7,1
2017,New Orleans,NY Jets,31,19,1
2017,NY Giants,Philadelphia,29,34,1
2017,Washington,Arizona,20,15,1
2017,Seattle,LA Rams,7,42,1
2017,San Francisco,Tennessee,25,23,1
2017,Pittsburgh,New England,24,27,1
2017,Las Vegas,Dallas,17,20,1
2017,Tampa Bay,Atlanta,21,24,1
2017,Baltimore,Indianapolis,23,16,1
2017,Green Bay,Minnesota,0,16,1
2017,Kansas City,Miami,29,13,1
2017,Cincinnati,Detroit,26,17,1
2017,Chicago,Cleveland,20,3,1
2017,Carolina,Tampa Bay,22,19,1
2017,Washington,Denver,27,11,1
2017,Tennessee,LA Rams,23,27,1
2017,NY Jets,LA Chargers,7,14,1
2017,New Orleans,Atlanta,23,13,1
2017,New England,Buffalo,37,16,1
2017,San Francisco,Jacksonville,44,33,1
2017,Arizona,NY Giants,23,0,1
2017,Dallas,Seattle,12,21,1
2017,Houston,Pittsburgh,6,34,1
2017,Philadelphia,Las Vegas,19,10,1
2017,NY Giants,Washington,18,10,1
2017,Philadelphia,Dallas,0,6,1
2017,Indianapolis,Houston,22,13,1
2017,Minnesota,Chicago,23,10,1
2017,Detroit,Green Bay,35,11,1
2017,New England,NY Jets,26,6,1
2017,Tampa Bay,New Orleans,31,24,1
2017,Atlanta,Carolina,22,10,1
2017,Baltimore,Cincinnati,27,31,1
2017,Miami,Buffalo,16,22,1
2017,Tennessee,Jacksonville,15,10,1
2017,Denver,Kansas City,24,27,1
2017,LA Chargers,Las Vegas,30,10,1
2017,LA Rams,San Francisco,13,34,1
2017,Seattle,Arizona,24,26,1
2017,Pittsburgh,Cleveland,28,24,1
